,mercadolivre,estantevirtual,submarino,saraiva,livrariadavila,livrariascuritiba,travessa,livrariacultura,amazon,magazineluiza
0,['negative'],['negative'],['negative'],['negative'],['positive'],['positive'],['positive'],['negative'],['negative'],['negative']
1,['positive'],['negative'],['negative'],['negative'],['positive'],['negative'],['negative'],['negative'],['negative'],['positive']
2,['positive'],['negative'],['negative'],['negative'],['positive'],['negative'],['negative'],['negative'],['negative'],['negative']
3,['negative'],['negative'],['negative'],['negative'],['positive'],['positive'],['negative'],['negative'],['negative'],['negative']
4,['negative'],['negative'],['negative'],['negative'],['positive'],['positive'],['negative'],['negative'],['negative'],['negative']
5,['negative'],['negative'],['negative'],['negative'],['positive'],['positive'],['negative'],['positive'],['negative'],['negative']
6,['positive'],['negative'],['negative'],['negative'],['negative'],['positive'],['negative'],['positive'],['positive'],['negative']
7,['negative'],['negative'],['negative'],['negative'],['negative'],['negative'],['negative'],['negative'],['negative'],['negative']
8,['negative'],['negative'],['negative'],['negative'],['positive'],['positive'],['negative'],['positive'],['negative'],['negative']
9,['negative'],['negative'],['negative'],['negative'],['negative'],['positive'],['positive'],['positive'],['negative'],['negative']
10,['positive'],['negative'],['negative'],['negative'],['negative'],['positive'],['positive'],['positive'],['positive'],['negative']
11,['negative'],['positive'],['negative'],['positive'],['positive'],['positive'],['negative'],['negative'],['negative'],['negative']
12,['positive'],['negative'],['negative'],['negative'],['negative'],['negative'],['negative'],['positive'],['negative'],['negative']
13,['negative'],['positive'],['negative'],['negative'],['negative'],['negative'],['positive'],['positive'],['negative'],['negative']
14,['negative'],['negative'],['negative'],['negative'],['positive'],['negative'],['positive'],['negative'],['negative'],['negative']
15,['negative'],['negative'],['negative'],['negative'],['positive'],['positive'],['negative'],['negative'],['negative'],['positive']
16,['negative'],['positive'],['negative'],['negative'],['negative'],['negative'],['negative'],['negative'],['positive'],['negative']
17,['negative'],['negative'],['negative'],['negative'],['negative'],['positive'],['positive'],['positive'],['negative'],['negative']
18,['negative'],['negative'],['negative'],['negative'],['negative'],['positive'],['positive'],['negative'],['negative'],['negative']
19,['positive'],['negative'],['negative'],['negative'],['negative'],['negative'],['negative'],['negative'],['negative'],['negative']
20,['positive'],['negative'],['negative'],['negative'],['negative'],['positive'],['negative'],['positive'],['negative'],['negative']
21,['negative'],['negative'],['negative'],['negative'],['negative'],['positive'],['negative'],['negative'],['negative'],['negative']
22,['negative'],['negative'],['negative'],['negative'],['positive'],['positive'],['negative'],['negative'],['negative'],['negative']
23,['negative'],['negative'],['negative'],['negative'],['negative'],['positive'],['negative'],['negative'],['negative'],['negative']
24,['negative'],['negative'],['negative'],['positive'],['negative'],['negative'],['negative'],['positive'],['negative'],['negative']
25,['negative'],['negative'],['negative'],['negative'],['negative'],['positive'],['negative'],['negative'],['negative'],['negative']
26,['negative'],['negative'],['negative'],['negative'],['negative'],['positive'],['negative'],['negative'],['negative'],['negative']
27,['positive'],['negative'],['negative'],['negative'],['negative'],['positive'],['positive'],['negative'],['negative'],['negative']
28,['negative'],['negative'],['negative'],['negative'],['negative'],['negative'],['positive'],['negative'],['negative'],['positive']
29,['positive'],['negative'],['negative'],['negative'],['negative'],['positive'],['negative'],['positive'],['negative'],['negative']
30,['negative'],['negative'],['negative'],['negative'],['negative'],['negative'],['positive'],['negative'],['positive'],['negative']
31,['negative'],['negative'],['negative'],['negative'],['negative'],['negative'],['negative'],['positive'],['negative'],['negative']
32,['negative'],['negative'],['negative'],['negative'],['negative'],['negative'],['negative'],['positive'],['negative'],['negative']
33,['negative'],['negative'],['negative'],['negative'],['positive'],['positive'],['positive'],['positive'],['negative'],['negative']
34,['negative'],['negative'],['negative'],['positive'],['positive'],['positive'],['positive'],['positive'],['negative'],['negative']
35,['negative'],['negative'],['negative'],['negative'],['negative'],['positive'],['positive'],['negative'],['positive'],['positive']
36,['negative'],['positive'],['negative'],['negative'],['positive'],['negative'],['positive'],['positive'],['negative'],['negative']
37,['negative'],['negative'],['negative'],['negative'],['negative'],['positive'],['positive'],['negative'],['negative'],['negative']
38,['negative'],['negative'],['negative'],['negative'],['positive'],['positive'],['negative'],['positive'],['positive'],['negative']
39,['negative'],['negative'],['negative'],['negative'],['positive'],['negative'],['negative'],['positive'],['negative'],['negative']
40,['negative'],['negative'],['negative'],['positive'],['positive'],['positive'],['negative'],['negative'],['negative'],['negative']
41,['positive'],['positive'],['negative'],['negative'],['negative'],['positive'],['negative'],['negative'],['negative'],['positive']
42,['negative'],['negative'],['negative'],['negative'],['negative'],['negative'],['negative'],['negative'],['negative'],['negative']
43,['negative'],['negative'],['negative'],['negative'],['positive'],['positive'],['positive'],['positive'],['negative'],['negative']
44,['negative'],['negative'],['negative'],['negative'],['positive'],['positive'],['positive'],['positive'],['negative'],['negative']
45,['positive'],['negative'],['negative'],['negative'],['negative'],['positive'],['positive'],['negative'],['negative'],['negative']
46,['negative'],['negative'],['negative'],['negative'],['negative'],['negative'],['negative'],['negative'],['negative'],['positive']
47,['negative'],['negative'],['negative'],['negative'],['positive'],['positive'],['negative'],['negative'],['negative'],['negative']
